100.000000,0.000000
95.000000,0.346000
90.000000,0.950000
85.000000,1.677000
80.000000,2.472000
75.000000,3.296000
70.000000,4.113000
65.000000,4.895000
60.000000,5.620000
55.000000,6.266000
50.000000,6.810000
45.000000,7.224000
40.000000,7.473000
35.000000,7.482000
30.000000,7.319000
25.000000,6.985000
20.000000,6.480000
15.000000,5.785000
10.000000,4.842000
7.500000,4.240000
5.000000,3.504000
2.500000,2.528000
1.250000,1.842000
0.750000,1.456000
0.500000,1.208000
0.000000,0.000000
0.500000,-1.208000
0.750000,-1.456000
1.250000,-1.842000
2.500000,-2.528000
5.000000,-3.504000
7.500000,-4.240000
10.000000,-4.842000
15.000000,-5.785000
20.000000,-6.480000
25.000000,-6.985000
30.000000,-7.319000
35.000000,-7.482000
40.000000,-7.473000
45.000000,-7.224000
50.000000,-6.810000
55.000000,-6.266000
60.000000,-5.620000
65.000000,-4.895000
70.000000,-4.113000
75.000000,-3.296000
80.000000,-2.472000
85.000000,-1.677000
90.000000,-0.950000
95.000000,-0.346000
100.000000,0.000000
