,Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,delta_e,Drag coefficient,Thrust coefficient,V cor,q cor,CDbcor,CMbcor,CL cor,CLa,CM25ca,dAoA,dCD,dCM25c,AoA cor,CD cor,CM cor
10,9,42.0,10.0,4.0,7.0,12.005,12,0.0,417.25,100754.0,286.91,4777.9,122.8,2121.4,2011.2,1511.5,-42.5,0.0,1.2233734758547932,977.8935528363936,39.98354154398649,40,452526.6534850092,56.23,56.24,-0.87,-0.91,0.0,100754.0,1.457697588084416e-05,3.5,3.499366839091913,3.498744618814692,44.01478297911402,1.456835574358928,290.4027656917036,-0.3665971611376928,-30.766374302962543,0.282833419923003,0.207256310663618,0.0068599308220699,1.3674452479371315,-0.0012360313048845,-0.8781226464945526,0.000953610660834,1.3806471738805828,-0.0817010750926654,1.3505452479371316,0.198156310663618,-0.0068599308220699,0.0004838585121328,-0.9365384528559584,-0.9348384528559583,0.001033395817237,15,0.15079479150135647,-0.04831657069443987,40.3742825850523,996.2795983154633,0.14801191820028856,-0.917586285553873,1.32562133461792,3.291304157379998,-3.597171909512898,0.00438082429917208,0.004287632218626055,-0.02640142413792686,12.004380824299172,0.1522995504189146,-0.9439877096917999
11,8,41.0,10.0,3.0,39.0,14.001,14,0.0,416.97,100753.0,286.91,5715.3,40.1,2158.2,2111.8,2086.7,-18.2,0.0,1.2233613336720923,977.2322704113608,39.97021854853709,40,452371.37627344526,56.23,56.24,-0.6,-0.7,0.0,100753.0,1.4577120561160186e-05,3.5,3.4982008081033444,3.49757879515738,52.631360411912425,0.4403807360780503,312.94977497264665,-0.4186170900061003,-33.76838297535926,0.1216651893596896,0.2479976565358244,0.0020750630361087,1.4746115281691212,-0.0014123785396062,-0.9644570805841558,0.0004104880249066,1.4908033001487444,-0.116135769348398,1.4412115281691211,0.2368976565358244,-0.0020750630361087,-0.000902244604207,-1.0343559562125648,-1.0331559562125647,0.0001800050386835,15,0.193475489227683,-0.04473449463955817,40.47102394849449,1000.3827681857019,0.1889981491282746,-1.0092470331228316,1.4078595299777243,2.6026028063343736,-2.822233464226881,0.004732803959099987,0.005004294804390177,-0.023184898410482418,14.0047328039591,0.19400244393266478,-1.032431931533314
12,14,47.0,10.0,8.0,33.0,-4.995,-5,0.0,104.74,100751.0,286.53,-42.1,-15.3,-29.8,-22.0,-249.5,-12.0,0.0,1.2249594556122656,244.3467295088627,19.97364864147382,20,226584.7993427056,61.52,61.51,1.51,1.32,0.0,100751.0,1.4543099465255593e-05,1.6,1.5977814526638974,1.598041212288782,-0.3850077362933282,-0.3974786320814897,-9.290374668967896,-0.2871103561457236,-3.1731087371585778,0.074409430732308,-0.0072554391952922,-0.0074904522030124,-0.1750763482342726,-0.0038741308310132,-0.3624506354558281,0.0010040455300465,-0.1737797383567088,-0.0224715741691296,-0.19787634823427258,-0.0133554391952922,0.0074904522030124,-0.0058751854569401,-0.3604056683822463,-0.3617056683822463,0.0015117778610916,15,0.05682146289165714,0.070452938061882,20.125085756030746,247.41271694328063,0.056117320059455814,-0.3572233400366425,-0.19542422530077813,4.943820676404253,-2.0252299244852385,-0.0006099624395744889,8.312124517474172e-05,0.0028200463080445075,-5.000609962439574,0.056200441304630554,-0.354403293728598
13,13,46.0,10.0,7.0,51.0,7.005,7,0.0,105.18,100750.0,286.61,205.0,-0.4,552.9,544.4,-250.8,-8.6,0.0,1.2246053839815212,245.37317642532733,20.018450481872748,20,226978.08970353,61.52,61.52,1.51,1.58,0.0,100750.0,1.4550464627542855e-05,1.6,1.6013653521766773,1.6013653521766773,1.9563290112732628,-0.1003793972568322,60.88193532123243,-0.2999319447046559,-6.7926609137343,0.0624959978442762,0.0367126379492952,-0.0018837283748402,1.1425156178847908,-0.0040302092361894,-0.7726508584965851,0.000839763660336,1.138464649594502,-0.102897990843017,1.1364156178847908,0.030512637949295197,0.0018837283748402,-0.0046295112538539,-0.782998424477064,-0.780798424477064,0.0002688987708519,15,0.09892027263137577,0.06896658534077259,20.128382594961558,248.53345159503792,0.09766243277371622,-0.7708700311055164,1.121965305314697,6.37077485806958,-2.0010205123948888,0.0036951760598905492,0.003050535799987825,-0.01632953669070241,7.003695176059891,0.10071296857370404,-0.7871995677962188
14,15,48.0,10.0,9.0,38.0,12.001,12,0.0,105.15,100749.0,286.48999999999995,679.0,-12.4,631.4,623.2,61.9,5.7,0.0,1.2251061656229014,245.30319083912173,20.011504172189905,20,227066.0951450689,61.51,61.51,1.57,1.41,0.0,100749.0,1.4539778224966004e-05,1.6,1.601069937750176,1.601069937750176,6.323577135822423,-0.108069117112756,78.0741813170825,-0.3769298147436485,-9.873134014638364,-0.0281786438310824,0.1187026471652525,-0.0020286129199604,1.465564790077046,-0.0050662807086025,-1.123368587729433,-0.0003787466898395,1.4582150593088583,-0.1886247946651649,1.4486647900770457,0.1096026471652524,0.0020286129199604,-0.0054360735434839,-1.1568252811791484,-1.1551252811791484,-0.0015007848372679,15,0.17173475957094525,0.06354525404142945,20.18864523952137,249.95254278605933,0.16854033182130856,-1.133638866537614,1.421718265000205,3.580976725994779,-4.292904132791791,0.004453661708567565,0.004431393400024727,-0.029011606942778524,12.004453661708567,0.1729717252213333,-1.1626504734803926
15,12,45.0,10.0,7.0,10.0,14.001,14,0.0,105.34,100748.0,286.73999999999995,1016.9,-10.8,616.0,621.5,347.3,2.5,0.0,1.2240258829450592,245.74643429182908,20.038412368752148,20,227016.80010960865,61.53,61.51,1.66,1.46,0.0,100748.0,1.456249039139492e-05,1.6,1.6027016755759744,1.603222794638103,9.42581575338668,-0.120140259851679,84.00417107292114,-0.1779739283857664,-10.816587693581234,-0.0076695878268366,0.1766169995024991,-0.0022511380202642,1.5740350786363726,-0.0023878174252019,-1.2284952784262648,-0.000102900327161,1.5700033737671035,-0.2094502319191579,1.5406350786363723,0.1655169995024991,0.0022511380202642,-0.0029076235667994,-1.2782753039899524,-1.2770753039899523,-0.0008033103582292,15,0.22299857069044343,0.05927281181263794,20.247352353138325,251.86261904643854,0.2175833150899086,-1.2460630460601185,1.50322258441215,2.6347546875248655,-3.4936108092915905,0.004698623275361323,0.004932272996417927,-0.02739168641395334,14.004698623275361,0.22251558808632654,-1.273454732474072
16,16,49.0,10.0,10.0,44.0,-4.994,-5,0.0,26.0,100746.0,286.42999999999995,32.9,1.5,-37.0,-38.5,11.4,-0.5,0.0,1.2253263074691505,60.9478914268,9.97397927674608,10,113211.31593106514,30.72,30.76,0.32,0.3,0.0,100746.0,1.4534796745965383e-05,1.6,1.5978041564054042,1.595726387671457,0.3040621060937973,0.0128573909521433,-4.325342568609282,-0.0131486602341164,-0.5211561439808888,1.2016836219738238e-05,0.0229722955581751,0.0009713929461783,-0.3267853701105304,-0.0007113032181036,-0.2386599899491778,6.500749218803779e-07,-0.3275446048517165,-0.0055620422527501,-0.34958537011053037,0.0168722955581751,-0.0009713929461783,-0.0004357957637049,-0.2451347996411314,-0.2464347996411314,3.858424761870893e-05,15,0.08936782139898576,0.0727693663428105,10.06296332589349,61.717804023151885,0.08825298245595087,-0.2433605934306838,-0.3452243889607884,5.701587473678446,-3.1087839481138206,-0.000552180807540081,6.811903234835364e-05,0.0034728218722316316,-5.00055218080754,0.08832110148829922,-0.23988777155845217
17,19,52.0,10.0,13.0,1.0,7.006,7,0.0,26.28,100748.0,286.29,80.3,-9.6,114.5,116.6,48.8,3.5,0.0,1.2259498469232817,61.59904240851312,10.02456708219209,10,113886.74790687434,30.76,30.76,0.3,0.31,0.0,100748.0,1.452187769433146e-05,1.6,1.603819877120828,1.603819877120828,0.8129550329773647,-0.09579454036192,15.081476286551595,-0.1472411428890985,-1.7135029389768204,-0.0164311590595936,0.0607705748268803,-0.0071608994924972,1.1273809079145258,-0.0078811061041603,-0.7763925044690412,-0.0008794804592119,1.126375574125989,-0.0771935250349317,1.1212809079145258,0.0545705748268802,0.0071608994924972,-0.0097182385454445,-0.7935208713698688,-0.7913208713698688,-0.0020582791663404,15,0.125286470987288,0.07131428723088941,10.066657171179202,62.42298294676273,0.12363277554583983,-0.7808759788974811,1.1064807693888803,7.022869163245972,-2.6016393521266075,0.0037529576919249573,0.00314668443569308,-0.02004067695460921,7.003752957691925,0.12677945998153292,-0.8009166558520903
18,18,51.0,10.0,12.0,21.0,12.005,12,0.0,26.19,100748.0,286.33,220.2,2.7,101.2,99.6,292.6,-0.2,0.0,1.2257785830184271,61.38974308738623,10.008221102473398,10,113672.800420179,30.76,30.76,0.32,0.32,0.0,100748.0,1.4525485993379496e-05,1.6,1.6012047011268018,1.6012047011268018,2.1075004390314755,0.0621608989330094,19.062824513550783,-0.1164431825907193,-2.4562701831133986,0.0106320623646081,0.1580784391139128,0.0046625365742574,1.4298557136193968,-0.0062538895460901,-1.1167366298194412,0.0005710230706172,1.4314638363746737,-0.1427845924258885,1.4129557136193969,0.14897843911391281,-0.0046625365742574,-0.0049504760772447,-1.161291507109422,-1.159591507109422,-0.0004711499338421,15,0.21332370662064598,0.06591238606463745,10.090931193082536,62.511267603560036,0.20949643233829726,-1.1387870929001653,1.3876056522010012,3.3430156745723973,-4.2209148122576705,0.004511443340601974,0.004547124756114007,-0.028898275653545764,12.004511443340602,0.21404355709441128,-1.1676853685537112
19,17,50.0,10.0,11.0,51.0,14.001,14,0.0,26.18,100748.0,286.35,288.2,6.4,90.7,89.1,435.6,-1.7,0.0,1.2256929690087877,61.36648765353532,10.006674746570289,10,113641.12112894122,30.76,30.76,0.31,0.34,0.0,100748.0,1.4527290268678256e-05,1.6,1.6009573012825815,1.6009573012825815,2.726917126522389,0.103800987490552,21.24933734523748,-0.0788504551037227,-2.633385176850088,0.0206655488510977,0.2046168778759805,0.0077888080184698,1.5944646876969444,-0.0042364773904864,-1.1977151991808206,0.0011103186450161,1.596600307689947,-0.1872249035480976,1.561064687696944,0.19351687787598051,-0.0077888080184698,-0.0022491675746735,-1.2553870735763777,-1.2541870735763776,0.0005331717753333,15,0.2530275223026231,0.0613477491272086,10.117996679523502,62.82324019782268,0.247160290912959,-1.2251048389655619,1.5248665395524221,4.25151258650099,-2.715394147898704,0.004756404907395731,0.005054328814777155,-0.021920630707001558,14.004756404907395,0.2522146197277361,-1.2470254696725633
